VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,09/01/2021 06:34:00 AM,09/01/2021 06:38:00 AM,,,198,157,,0.6,21.45,2.75,0,0,0,,0.3,24.5,,,
2,09/01/2021 06:35:00 AM,09/01/2021 06:49:00 AM,,,159,213,,2.43,19.24,2.75,0,0,0,,0.3,22.29,,,
2,09/01/2021 06:36:00 AM,09/01/2021 06:42:00 AM,,,26,227,,0.92,17.11,2.75,0,0,0,,0.3,20.16,,,
2,09/01/2021 06:36:02 AM,09/01/2021 07:07:51 AM,N,1,35,197,1,6.59,27.5,0,0.5,0,0,,0.3,28.3,1,1,0
2,09/01/2021 06:36:10 AM,09/01/2021 06:42:26 AM,N,1,74,75,1,1.17,6.5,0,0.5,1.46,0,,0.3,8.76,1,1,0
2,09/01/2021 06:38:00 AM,09/01/2021 06:51:00 AM,,,89,62,,2.16,21.37,2.75,0,0,0,,0.3,24.42,,,
2,09/01/2021 06:38:00 AM,09/01/2021 07:01:00 AM,,,159,94,,3.43,18.52,2.75,0,0,0,,0.3,21.57,,,
2,09/01/2021 06:39:00 AM,09/01/2021 06:55:00 AM,,,188,178,,3.09,19.82,2.75,0,0,0,,0.3,22.87,,,
2,09/01/2021 06:42:00 AM,09/01/2021 07:09:00 AM,,,94,137,,11.44,31.94,2.75,0,0,6.55,,0.3,41.54,,,
2,09/01/2021 06:42:00 AM,09/01/2021 06:55:00 AM,,,42,136,,4.78,26.14,2.75,0,0,0,,0.3,29.19,,,
1,09/01/2021 06:42:05 AM,09/01/2021 06:54:27 AM,N,1,116,238,1,2.8,11.5,0,0.5,0,0,,0.3,12.3,2,1,0
2,09/01/2021 06:43:00 AM,09/01/2021 07:23:00 AM,,,215,75,,25.48,45.32,5.5,0,0,6.55,,0.3,57.67,,,
1,09/01/2021 06:43:53 AM,09/01/2021 06:50:03 AM,N,1,74,42,1,0.9,6,0,0.5,0,0,,0.3,6.8,2,1,0
